inep_id;ano;ciclo_id;lp_adequado;mt_adequado;lp_insuficiente;lp_basico;lp_proficiente;lp_avancado;mt_insuficiente;mt_basico;mt_proficiente;mt_avancado;matriculas
35010273;2017;AF;0,4154;0,1551;0,1479;0,4367;0,3323;0,083;0,2301;0,6148;0,1349;0,0202;105
35010273;2017;EM;0,2201;0,0304;0,3455;0,4344;0,2051;0,0151;0,5133;0,4563;0,0229;0,0075;148
35010285;2017;AF;0,4689;0,1956;0,0983;0,4328;0,3561;0,1128;0,2288;0,5756;0,1687;0,0269;168
35035403;2017;AF;0,4043;0,2298;0,1125;0,4831;0,3078;0,0966;0,1614;0,6088;0,1815;0,0483;89
35040708;2017;AF;0,4355;0,1613;0,129;0,4355;0,3387;0,0968;0,129;0,7097;0,1613;0;62
35040708;2017;EM;0,4417;0,1334;0,226;0,3323;0,4319;0,0098;0,4156;0,451;0,1235;0,0099;120
35044878;2017;AF;0,2982;0,1789;0,1212;0,5806;0,2395;0,0587;0,3197;0,5014;0,1594;0,0196;53
35044878;2017;EM;0,2084;0,0476;0,4643;0,3273;0,2084;0;0,5406;0,4118;0,0476;0;53
35046536;2017;AI;0,867;0,784;0,046;0,0871;0,4347;0,4323;0,0162;0,1998;0,4567;0,3273;73
35046541;2017;AI;0,7532;0,6845;0,0856;0,1612;0,3746;0,3785;0,1125;0,203;0,4131;0,2715;161
35049086;2017;AF;0,2015;0,1399;0,2223;0,5762;0,1751;0,0263;0,3103;0,5499;0,1399;0;79
35049086;2017;AI;0,699;0,7432;0,0584;0,2426;0,3538;0,3452;0,0719;0,1849;0,5131;0,23;79
35206805;2017;AI;0,6784;0,6101;0,0661;0,2555;0,386;0,2924;0,2045;0,1854;0,3875;0,2226;88
35277836;2017;AF;0,381;0,1905;0;0,619;0,2857;0,0952;0,2857;0,5238;0,1429;0,0476;24
35277836;2017;AI;0,6061;0,6061;0,0303;0,3636;0,3939;0,2121;0,1212;0,2727;0,5152;0,0909;33
35277848;2017;AI;0,5206;0,3206;0,1599;0,3195;0,3;0,2206;0,1997;0,4797;0,2605;0,0601;56
35285754;2017;AI;0,4706;0,3529;0,1176;0,4118;0,2353;0,2353;0,1176;0,5294;0,1765;0,1765;16
35301413;2017;AI;0,3529;0,2941;0,1176;0,5294;0,1765;0,1765;0,3529;0,3529;0,1765;0,1176;16
35659137;2017;AF;0,3812;0,0239;0,103;0,5157;0,3574;0,0239;0,3568;0,6193;0,0239;0;40
35664224;2017;AI;0,5;0,6;0,1;0,4;0,25;0,25;0,2;0,2;0,35;0,25;21
35902160;2017;AF;0,2236;0,084;0,1924;0,584;0,1951;0,0285;0,4986;0,4173;0,0556;0,0285;41
35904181;2017;AF;0,3494;0,1735;0,1294;0,5212;0,269;0,0803;0,3147;0,5118;0,1396;0,0338;95
35904181;2017;EM;0,2124;0,0702;0,3792;0,4083;0,2124;0;0,6184;0,3114;0,0702;0;86
35904193;2017;AI;0,5807;0,5645;0,1062;0,3131;0,3345;0,2462;0,1402;0,2953;0,404;0,1605;59
35914782;2017;EM;0,1932;0,0125;0,4791;0,3277;0,1932;0;0,7159;0,2716;0,0125;0;174
35914848;2017;AI;0,5315;0,5003;0,0625;0,406;0,2812;0,2503;0,0941;0,4055;0,3437;0,1566;34
35914848;2017;EM;0,037;0;0,8519;0,1111;0;0,037;0,7778;0,2222;0;0;31
35917084;2017;AI;0,7306;0,6367;0,0898;0,1796;0,4714;0,2592;0,149;0,2143;0,349;0,2878;35
35918830;2017;AI;0,6667;0,6667;0,0476;0,2857;0,5238;0,1429;0,0952;0,2381;0,4286;0,2381;20
35919007;2017;AI;0,6828;0,6401;0,0391;0,2781;0,2724;0,4104;0,0875;0,2724;0,3271;0,313;80
35920058;2017;AI;0,6947;0,6947;0,0378;0,2675;0,5;0,1947;0,1396;0,1657;0,5145;0,1802;34
35010273;2019;AF;0,2139;0,1562;0,2139;0,5721;0,1845;0,0294;0,3296;0,5141;0,1562;0;105
35010273;2019;EM;0,3315;0,054;0,2699;0,3986;0,3315;0;0,5153;0,4307;0,054;0;105
35010285;2019;AF;0,3893;0,2036;0,1749;0,4358;0,3375;0,0518;0,2445;0,552;0,1714;0,0322;58
35035403;2019;AF;0,4979;0,3278;0,0735;0,4286;0,338;0,1599;0,2262;0,4459;0,2731;0,0547;109
35035403;2019;EM;0,3402;0,0681;0,2718;0,3881;0,3357;0,0044;0,4664;0,4655;0,0637;0,0044;226
35040708;2019;AF;0,4706;0,2945;0,118;0,4114;0,2647;0,2059;0,1761;0,5294;0,2502;0,0443;73
35040708;2019;EM;0,4167;0,0476;0,1881;0,3952;0,4167;0;0,3667;0,5857;0,0476;0;76
35044878;2019;AF;0,3376;0,12;0,2461;0,4164;0,2722;0,0654;0,3518;0,5282;0,12;0;77
35044878;2019;EM;0,4694;0,0816;0,1633;0,3673;0,4694;0;0,3877;0,5306;0,0816;0;53
35046536;2019;AI;0,8318;0,7541;0,0487;0,1194;0,368;0,4638;0,0393;0,2066;0,4166;0,3374;106
35046541;2019;AI;0,7487;0,692;0,0702;0,1811;0,3856;0,363;0,0489;0,2591;0,3777;0,3144;149
35049086;2019;AF;0,3324;0,2402;0,1899;0,4777;0,2821;0,0503;0,2151;0,5447;0,2402;0;47
35049086;2019;AI;0,6237;0,6564;0,0945;0,2818;0,2907;0,333;0,1167;0,2269;0,3879;0,2685;67
35206805;2019;AI;0,602;0,4394;0,1846;0,2134;0,3132;0,2888;0,2498;0,3107;0,2963;0,1431;59
35277836;2019;AF;0,1875;0;0,25;0,5625;0,1875;0;0,375;0,625;0;0;17
35277836;2019;AI;0,5152;0,4545;0,1818;0,303;0,2727;0,2424;0,2424;0,303;0,303;0,1515;33
35277848;2019;AI;0,5668;0,4661;0,1712;0,262;0,3577;0,2091;0,2166;0,3173;0,4208;0,0454;46
35277859;2019;AI;0,5893;0,5123;0,0804;0,3302;0,5351;0,0542;0,166;0,3218;0,486;0,0262;40
35285754;2019;AI;0,5;0,2;0,1;0,4;0,35;0,15;0,15;0,65;0,15;0,05;21
35301413;2019;AI;0,6667;0,5333;0,0667;0,2667;0,5333;0,1333;0,1333;0,3333;0,2667;0,2667;15
35659137;2019;AI;0,4701;0,404;0,1703;0,3596;0,3415;0,1286;0,2554;0,3406;0,3605;0,0435;54
35664224;2019;AI;0,4877;0,3793;0,0957;0,4166;0,326;0,1617;0,1592;0,4615;0,3582;0,0212;49
35902160;2019;AF;0,32;0,16;0,08;0,6;0,28;0,04;0,2;0,64;0,16;0;29
35902160;2019;EM;0,2706;0,0389;0,5738;0,1556;0,2706;0;0,4984;0,4627;0,0389;0;30
35904181;2019;AF;0,4098;0,0755;0,0581;0,5321;0,3532;0,0566;0,2528;0,6717;0,0755;0;53
35904181;2019;EM;0,3179;0,05;0,2346;0,4474;0,3013;0,0167;0,4449;0,5051;0,05;0;62
35904193;2019;AF;0,2507;0,0826;0,2194;0,5299;0,2507;0;0,1923;0,7251;0,0541;0,0285;39
35912402;2019;AI;0,8;0,7111;0,0444;0,1556;0,4889;0,3111;0,0222;0,2667;0,4222;0,2889;45
35914782;2019;AF;0,3215;0,1719;0,1837;0,4948;0,2368;0,0847;0,333;0,4952;0,1324;0,0395;134
35914782;2019;EM;0,2309;0,0188;0,3274;0,4417;0,2256;0,0053;0,5677;0,4135;0,0188;0;235
35914848;2019;AF;0,4165;0,2073;0,057;0,5265;0,3575;0,0589;0,2623;0,5304;0,2073;0;39
35914848;2019;AI;0,5;0,4667;0,1;0,4;0,3667;0,1333;0,2333;0,3;0,2333;0,2333;29
35914848;2019;EM;0,4167;0,0833;0,375;0,2083;0,4167;0;0,4583;0,4583;0,0833;0;27
35917084;2019;AI;0,5258;0,5733;0,1147;0,3595;0,2727;0,2531;0,0909;0,3357;0,3678;0,2056;44
35918830;2019;AI;0,6207;0,5862;0,069;0,3103;0,3103;0,3103;0,0345;0,3793;0,2759;0,3103;30
35919007;2019;AI;0,8029;0,775;0,0279;0,1693;0,4099;0,393;0,0298;0,1952;0,4041;0,3709;78
