ibge_id;ano;dependencia_id;localizacao_id;serie_id;matriculas;aprovados;reprovados;abandonos;TIPO
3515103;2010;2;1;9;1296;91,5;6,9;1,6;AF
3515103;2010;3;1;9;0;0;0;0;AF
3515103;2010;4;1;9;104;97;3;0;AF
3515103;2010;5;1;9;1296;91,5;6,9;1,6;AF
3515103;2010;0;1;9;1400;91,9;6,6;1,5;AF
3515103;2010;3;2;9;0;0;0;0;AF
3515103;2010;4;2;9;52;100;0;0;AF
3515103;2010;5;2;9;0;0;0;0;AF
3515103;2010;0;2;9;52;100;0;0;AF
3515103;2010;2;0;8;1168;96,4;3,5;0,1;AF
3515103;2010;3;0;8;97;95,7;0;4,3;AF
3515103;2010;4;0;8;158;96,2;3,8;0;AF
3515103;2010;5;0;8;1265;96,3;3,3;0,4;AF
3515103;2010;0;0;8;1423;96,3;3,3;0,4;AF
3515103;2010;2;1;8;1168;96,4;3,5;0,1;AF
3515103;2010;3;1;8;97;95,7;0;4,3;AF
3515103;2010;4;1;8;102;97,1;2,9;0;AF
3515103;2010;5;1;8;1265;96,3;3,3;0,4;AF
3515103;2010;0;1;8;1367;96,4;3,2;0,4;AF
3515103;2010;3;2;8;0;0;0;0;AF
3515103;2010;4;2;8;56;94,6;5,4;0;AF
3515103;2010;5;2;8;0;0;0;0;AF
3515103;2010;0;2;8;56;94,6;5,4;0;AF
3515103;2010;2;0;6;1179;97,9;2;0,1;AF
3515103;2010;3;0;6;99;100;0;0;AF
3515103;2010;4;0;6;167;98,8;1,2;0;AF
3515103;2010;5;0;6;1278;98;1,8;0,2;AF
3515103;2010;0;0;6;1445;98,1;1,7;0,2;AF
3515103;2010;2;1;6;1179;97,9;2;0,1;AF
3515103;2010;3;1;6;99;100;0;0;AF
3515103;2010;4;1;6;104;99;1;0;AF
3515103;2010;5;1;6;1278;98;1,8;0,2;AF
3515103;2010;0;1;6;1382;98,1;1,7;0,2;AF
3515103;2010;3;2;6;0;0;0;0;AF
3515103;2010;4;2;6;63;98,4;1,6;0;AF
3515103;2010;5;2;6;0;0;0;0;AF
3515103;2010;0;2;6;63;98,4;1,6;0;AF
3515103;2010;2;0;9;1296;91,5;6,9;1,6;AF
3515103;2010;3;0;9;0;0;0;0;AF
3515103;2010;4;0;9;156;98;2;0;AF
3515103;2010;5;0;9;1296;91,5;6,9;1,6;AF
3515103;2010;0;0;9;1452;92,2;6,4;1,4;AF
3515103;2010;2;0;7;1226;96,6;3,2;0,2;AF
3515103;2010;3;0;7;122;88,4;7,4;4,2;AF
3515103;2010;4;0;7;137;94,9;5,1;0;AF
3515103;2010;5;0;7;1348;95,9;3,6;0,5;AF
3515103;2010;0;0;7;1485;95,8;3,8;0,4;AF
3515103;2010;2;1;7;1226;96,6;3,2;0,2;AF
3515103;2010;3;1;7;122;88,4;7,4;4,2;AF
3515103;2010;4;1;7;101;96,1;3,9;0;AF
3515103;2010;5;1;7;1348;95,9;3,6;0,5;AF
3515103;2010;0;1;7;1449;95,9;3,6;0,5;AF
3515103;2010;3;2;7;0;0;0;0;AF
3515103;2010;4;2;7;36;91,4;8,6;0;AF
3515103;2010;5;2;7;0;0;0;0;AF
3515103;2010;0;2;7;36;91,4;8,6;0;AF
3515103;2010;2;1;3;698;99,7;0,3;0;AI
3515103;2010;3;1;3;384;91,8;7,9;0,3;AI
3515103;2010;4;1;3;57;98,2;1,8;0;AI
3515103;2010;5;1;3;1082;96,9;3,1;0;AI
3515103;2010;0;1;3;1139;96,9;3;0,1;AI
3515103;2010;3;2;3;30;100;0;0;AI
3515103;2010;4;2;3;93;95,7;4,3;0;AI
3515103;2010;5;2;3;30;100;0;0;AI
3515103;2010;0;2;3;123;96,7;3,3;0;AI
3515103;2010;2;0;2;563;99,6;0,4;0;AI
3515103;2010;3;0;2;434;99,3;0;0,7;AI
3515103;2010;4;0;2;169;93,4;6,6;0;AI
3515103;2010;5;0;2;997;99,5;0,2;0,3;AI
3515103;2010;0;0;2;1166;98,6;1,1;0,3;AI
3515103;2010;2;1;2;563;99,6;0,4;0;AI
3515103;2010;3;1;2;387;99,2;0;0,8;AI
3515103;2010;4;1;2;79;96,2;3,8;0;AI
3515103;2010;5;1;2;950;99,5;0,2;0,3;AI
3515103;2010;0;1;2;1029;99,2;0,5;0,3;AI
3515103;2010;3;2;2;47;100;0;0;AI
3515103;2010;4;2;2;90;91;9;0;AI
3515103;2010;5;2;2;47;100;0;0;AI
3515103;2010;0;2;2;137;94;6;0;AI
3515103;2010;2;0;1;325;100;0;0;AI
3515103;2010;3;0;1;639;98,9;0;1,1;AI
3515103;2010;4;0;1;114;100;0;0;AI
3515103;2010;5;0;1;964;99,3;0;0,7;AI
3515103;2010;0;0;1;1078;99,3;0;0,7;AI
3515103;2010;2;1;1;325;100;0;0;AI
3515103;2010;3;1;1;586;98,8;0;1,2;AI
3515103;2010;4;1;1;72;100;0;0;AI
3515103;2010;5;1;1;911;99,2;0;0,8;AI
3515103;2010;0;1;1;983;99,3;0;0,7;AI
3515103;2010;3;2;1;53;100;0;0;AI
3515103;2010;4;2;1;42;100;0;0;AI
3515103;2010;5;2;1;53;100;0;0;AI
3515103;2010;0;2;1;95;100;0;0;AI
3515103;2010;2;0;4;778;99,9;0,1;0;AI
3515103;2010;3;0;4;351;98,8;0;1,2;AI
3515103;2010;4;0;4;178;93,1;6,9;0;AI
3515103;2010;5;0;4;1129;99,6;0,1;0,3;AI
3515103;2010;0;0;4;1307;98,7;1;0,3;AI
3515103;2010;2;1;4;778;99,9;0,1;0;AI
3515103;2010;3;1;4;341;98,8;0;1,2;AI
3515103;2010;4;1;4;62;100;0;0;AI
3515103;2010;5;1;4;1119;99,5;0,1;0,4;AI
3515103;2010;0;1;4;1181;99,6;0,1;0,3;AI
3515103;2010;3;2;4;10;100;0;0;AI
3515103;2010;4;2;4;116;89,5;10,5;0;AI
3515103;2010;5;2;4;10;100;0;0;AI
3515103;2010;0;2;4;126;90,5;9,5;0;AI
3515103;2010;2;0;3;698;99,7;0,3;0;AI
3515103;2010;3;0;3;414;92,4;7,4;0,2;AI
3515103;2010;4;0;3;150;96,6;3,4;0;AI
3515103;2010;5;0;3;1112;96,9;3;0,1;AI
3515103;2010;0;0;3;1262;96,9;3;0,1;AI
3515103;2010;2;0;5;853;98,2;1,8;0;AI
3515103;2010;3;0;5;436;95,1;4,4;0,5;AI
3515103;2010;4;0;5;144;100;0;0;AI
3515103;2010;5;0;5;1289;97,1;2,7;0,2;AI
3515103;2010;0;0;5;1433;97,4;2,4;0,2;AI
3515103;2010;2;1;5;853;98,2;1,8;0;AI
3515103;2010;3;1;5;430;95;4,5;0,5;AI
3515103;2010;4;1;5;61;100;0;0;AI
3515103;2010;5;1;5;1283;97,1;2,7;0,2;AI
3515103;2010;0;1;5;1344;97,3;2,6;0,1;AI
3515103;2010;3;2;5;6;100;0;0;AI
3515103;2010;4;2;5;83;100;0;0;AI
3515103;2010;5;2;5;6;100;0;0;AI
3515103;2010;0;2;5;89;100;0;0;AI
3515103;2010;2;0;12;887;92,7;5,2;2,1;EM
3515103;2010;3;0;12;0;0;0;0;EM
3515103;2010;4;0;12;69;100;0;0;EM
3515103;2010;5;0;12;887;92,7;5,2;2,1;EM
3515103;2010;0;0;12;956;93,2;4,8;2;EM
3515103;2010;2;1;12;887;92,7;5,2;2,1;EM
3515103;2010;3;1;12;0;0;0;0;EM
3515103;2010;4;1;12;69;100;0;0;EM
3515103;2010;5;1;12;887;92,7;5,2;2,1;EM
3515103;2010;0;1;12;956;93,2;4,8;2;EM
3515103;2010;3;2;12;0;0;0;0;EM
3515103;2010;4;2;12;0;0;0;0;EM
3515103;2010;5;2;12;0;0;0;0;EM
3515103;2010;0;2;12;0;0;0;0;EM
3515103;2010;2;0;10;1277;86,6;11,4;2;EM
3515103;2010;3;0;10;0;0;0;0;EM
3515103;2010;4;0;10;97;92,4;7,6;0;EM
3515103;2010;5;0;10;1277;86,6;11,4;2;EM
3515103;2010;0;0;10;1374;87;11,1;1,9;EM
3515103;2010;2;1;10;1277;86,6;11,4;2;EM
3515103;2010;3;1;10;0;0;0;0;EM
3515103;2010;4;1;10;97;92,4;7,6;0;EM
3515103;2010;5;1;10;1277;86,6;11,4;2;EM
3515103;2010;0;1;10;1374;87;11,1;1,9;EM
3515103;2010;3;2;10;0;0;0;0;EM
3515103;2010;4;2;10;0;0;0;0;EM
3515103;2010;5;2;10;0;0;0;0;EM
3515103;2010;0;2;10;0;0;0;0;EM
3515103;2010;2;0;11;1068;87,5;10,5;2;EM
3515103;2010;3;0;11;0;0;0;0;EM
3515103;2010;4;0;11;77;100;0;0;EM
3515103;2010;5;0;11;1068;87,5;10,5;2;EM
3515103;2010;0;0;11;1145;88,3;9,8;1,9;EM
3515103;2010;2;1;11;1068;87,5;10,5;2;EM
3515103;2010;3;1;11;0;0;0;0;EM
3515103;2010;4;1;11;77;100;0;0;EM
3515103;2010;5;1;11;1068;87,5;10,5;2;EM
3515103;2010;0;1;11;1145;88,3;9,8;1,9;EM
3515103;2010;3;2;11;0;0;0;0;EM
3515103;2010;4;2;11;0;0;0;0;EM
3515103;2010;5;2;11;0;0;0;0;EM
3515103;2010;0;2;11;0;0;0;0;EM
3515103;2011;0;0;8;1466;95,9;3,6;0,5;AF
3515103;2011;5;0;8;1325;95,7;3,6;0,7;AF
3515103;2011;4;0;8;141;97,2;2,8;0;AF
3515103;2011;3;0;8;101;98;0;2;AF
3515103;2011;2;0;8;1224;95,6;3,9;0,5;AF
3515103;2011;0;1;8;1433;95,9;3,6;0,5;AF
3515103;2011;5;1;8;1325;95,7;3,6;0,7;AF
3515103;2011;4;1;8;108;97,2;2,8;0;AF
3515103;2011;3;1;8;101;98;0;2;AF
3515103;2011;2;1;8;1224;95,6;3,9;0,5;AF
3515103;2011;0;2;8;33;97;3;0;AF
3515103;2011;5;2;8;0;0;0;0;AF
3515103;2011;4;2;8;33;97;3;0;AF
3515103;2011;3;2;8;0;0;0;0;AF
3515103;2011;0;0;9;1456;89,1;9,7;1,2;AF
3515103;2011;5;0;9;1303;87,9;10,7;1,4;AF
3515103;2011;4;0;9;153;99,3;0,7;0;AF
3515103;2011;3;0;9;82;92,9;4,7;2,4;AF
3515103;2011;2;0;9;1221;87,5;11,1;1,4;AF
3515103;2011;0;1;9;1410;88,7;10;1,3;AF
3515103;2011;5;1;9;1303;87,9;10,7;1,4;AF
3515103;2011;4;1;9;107;99;1;0;AF
3515103;2011;3;1;9;82;92,9;4,7;2,4;AF
3515103;2011;2;1;9;1221;87,5;11,1;1,4;AF
3515103;2011;0;2;9;46;100;0;0;AF
3515103;2011;5;2;9;0;0;0;0;AF
3515103;2011;4;2;9;46;100;0;0;AF
3515103;2011;3;2;9;0;0;0;0;AF
3515103;2011;0;0;7;1487;95,8;3,9;0,3;AF
3515103;2011;5;0;7;1304;95,9;3,7;0,4;AF
3515103;2011;4;0;7;183;95,1;4,9;0;AF
3515103;2011;3;0;7;115;92,7;7,3;0;AF
3515103;2011;2;0;7;1189;96,2;3,4;0,4;AF
3515103;2011;0;1;7;1426;95,8;3,9;0,3;AF
3515103;2011;5;1;7;1304;95,9;3,7;0,4;AF
3515103;2011;4;1;7;122;94,2;5,8;0;AF
3515103;2011;3;1;7;115;92,7;7,3;0;AF
3515103;2011;2;1;7;1189;96,2;3,4;0,4;AF
3515103;2011;0;2;7;61;96,7;3,3;0;AF
3515103;2011;5;2;7;0;0;0;0;AF
3515103;2011;4;2;7;61;96,7;3,3;0;AF
3515103;2011;3;2;7;0;0;0;0;AF
3515103;2011;0;0;6;1380;97,3;2,5;0,2;AF
3515103;2011;5;0;6;1226;97,2;2,6;0,2;AF
3515103;2011;4;0;6;154;98,6;1,4;0;AF
3515103;2011;3;0;6;104;99;0;1;AF
3515103;2011;2;0;6;1122;97;2,8;0,2;AF
3515103;2011;0;1;6;1338;97,3;2,5;0,2;AF
3515103;2011;5;1;6;1226;97,2;2,6;0,2;AF
3515103;2011;4;1;6;112;99,1;0,9;0;AF
3515103;2011;3;1;6;104;99;0;1;AF
3515103;2011;2;1;6;1122;97;2,8;0,2;AF
3515103;2011;0;2;6;42;97,6;2,4;0;AF
3515103;2011;5;2;6;0;0;0;0;AF
3515103;2011;4;2;6;42;97,6;2,4;0;AF
3515103;2011;3;2;6;0;0;0;0;AF
3515103;2011;0;2;1;64;100;0;0;AI
3515103;2011;5;2;1;17;100;0;0;AI
3515103;2011;4;2;1;47;100;0;0;AI
3515103;2011;3;2;1;17;100;0;0;AI
3515103;2011;0;0;1;957;99,5;0,4;0,1;AI
3515103;2011;5;0;1;839;99,4;0,5;0,1;AI
3515103;2011;4;0;1;118;100;0;0;AI
3515103;2011;3;0;1;425;99,5;0,2;0,3;AI
3515103;2011;2;0;1;414;99,3;0,7;0;AI
3515103;2011;0;1;1;893;99,4;0,4;0,2;AI
3515103;2011;5;1;1;822;99,4;0,5;0,1;AI
3515103;2011;4;1;1;71;100;0;0;AI
3515103;2011;3;1;1;408;99,5;0,2;0,3;AI
3515103;2011;2;1;1;414;99,3;0,7;0;AI
3515103;2011;0;0;2;1127;98,6;1,3;0,1;AI
3515103;2011;5;0;2;949;99,6;0,2;0,2;AI
3515103;2011;4;0;2;178;93,3;6,7;0;AI
3515103;2011;3;0;2;380;99,2;0,3;0,5;AI
3515103;2011;2;0;2;569;99,8;0,2;0;AI
3515103;2011;0;1;2;1008;99,4;0,4;0,2;AI
3515103;2011;5;1;2;929;99,6;0,2;0,2;AI
3515103;2011;4;1;2;79;97,5;2,5;0;AI
3515103;2011;3;1;2;360;99,2;0,3;0,5;AI
3515103;2011;2;1;2;569;99,8;0,2;0;AI
3515103;2011;0;2;2;119;91,5;8,5;0;AI
3515103;2011;5;2;2;20;100;0;0;AI
3515103;2011;4;2;2;99;89,9;10,1;0;AI
3515103;2011;3;2;2;20;100;0;0;AI
3515103;2011;0;0;4;1228;99,3;0,6;0,1;AI
3515103;2011;5;0;4;1065;99,7;0,1;0,2;AI
3515103;2011;4;0;4;163;96,2;3,8;0;AI
3515103;2011;3;0;4;411;99,5;0;0,5;AI
3515103;2011;2;0;4;654;99,8;0,2;0;AI
3515103;2011;0;1;4;1096;99,6;0,2;0,2;AI
3515103;2011;5;1;4;1038;99,7;0,1;0,2;AI
3515103;2011;4;1;4;58;98,2;1,8;0;AI
3515103;2011;3;1;4;384;99,5;0;0,5;AI
3515103;2011;2;1;4;654;99,8;0,2;0;AI
3515103;2011;0;2;4;132;96,2;3,8;0;AI
3515103;2011;5;2;4;27;100;0;0;AI
3515103;2011;4;2;4;105;95,1;4,9;0;AI
3515103;2011;3;2;4;27;100;0;0;AI
3515103;2011;0;0;3;1212;96,1;3,8;0,1;AI
3515103;2011;5;0;3;1028;96,4;3,5;0,1;AI
3515103;2011;4;0;3;184;94,6;5,4;0;AI
3515103;2011;3;0;3;471;92,7;7,1;0,2;AI
3515103;2011;2;0;3;557;99,5;0,5;0;AI
3515103;2011;0;1;3;1087;96,7;3,2;0,1;AI
3515103;2011;5;1;3;1005;96,9;3;0,1;AI
3515103;2011;4;1;3;82;94;6;0;AI
3515103;2011;3;1;3;448;93,7;6,1;0,2;AI
3515103;2011;2;1;3;557;99,5;0,5;0;AI
3515103;2011;0;2;3;125;91,3;8,7;0;AI
3515103;2011;5;2;3;23;75;25;0;AI
3515103;2011;4;2;3;102;95,1;4,9;0;AI
3515103;2011;3;2;3;23;75;25;0;AI
3515103;2011;0;0;5;1349;97,4;2,6;0;AI
3515103;2011;5;0;5;1184;97,6;2,4;0;AI
3515103;2011;4;0;5;165;95,8;4,2;0;AI
3515103;2011;3;0;5;387;95,7;4,3;0;AI
3515103;2011;2;0;5;797;98,5;1,5;0;AI
3515103;2011;0;1;5;1237;97,6;2,4;0;AI
3515103;2011;5;1;5;1172;97,7;2,3;0;AI
3515103;2011;4;1;5;65;96,9;3,1;0;AI
3515103;2011;3;1;5;375;95,9;4,1;0;AI
3515103;2011;2;1;5;797;98,5;1,5;0;AI
3515103;2011;0;2;5;112;94,4;5,6;0;AI
3515103;2011;5;2;5;12;87,5;12,5;0;AI
3515103;2011;4;2;5;100;95;5;0;AI
3515103;2011;3;2;5;12;87,5;12,5;0;AI
3515103;2011;0;0;10;1441;78,2;17,6;4,2;EM
3515103;2011;5;0;10;1330;76,6;18,9;4,5;EM
3515103;2011;4;0;10;111;97,3;2,7;0;EM
3515103;2011;3;0;10;0;0;0;0;EM
3515103;2011;2;0;10;1330;76,6;18,9;4,5;EM
3515103;2011;0;1;10;1441;78,2;17,6;4,2;EM
3515103;2011;5;1;10;1330;76,6;18,9;4,5;EM
3515103;2011;4;1;10;111;97,3;2,7;0;EM
3515103;2011;3;1;10;0;0;0;0;EM
3515103;2011;2;1;10;1330;76,6;18,9;4,5;EM
3515103;2011;0;2;10;0;0;0;0;EM
3515103;2011;5;2;10;0;0;0;0;EM
3515103;2011;4;2;10;0;0;0;0;EM
3515103;2011;3;2;10;0;0;0;0;EM
3515103;2011;0;0;11;1258;79,7;16,6;3,7;EM
3515103;2011;5;0;11;1170;78,4;17,7;3,9;EM
3515103;2011;4;0;11;88;97,7;2,3;0;EM
3515103;2011;3;0;11;0;0;0;0;EM
3515103;2011;2;0;11;1170;78,4;17,7;3,9;EM
3515103;2011;0;1;11;1258;79,7;16,6;3,7;EM
3515103;2011;5;1;11;1170;78,4;17,7;3,9;EM
3515103;2011;4;1;11;88;97,7;2,3;0;EM
3515103;2011;3;1;11;0;0;0;0;EM
3515103;2011;2;1;11;1170;78,4;17,7;3,9;EM
3515103;2011;0;2;11;0;0;0;0;EM
3515103;2011;5;2;11;0;0;0;0;EM
3515103;2011;4;2;11;0;0;0;0;EM
3515103;2011;3;2;11;0;0;0;0;EM
3515103;2011;0;0;12;1002;85,6;11,4;3;EM
3515103;2011;5;0;12;929;84,6;12,2;3,2;EM
3515103;2011;4;0;12;73;98,6;1,4;0;EM
3515103;2011;3;0;12;0;0;0;0;EM
3515103;2011;2;0;12;929;84,6;12,2;3,2;EM
3515103;2011;0;1;12;1002;85,6;11,4;3;EM
3515103;2011;5;1;12;929;84,6;12,2;3,2;EM
3515103;2011;4;1;12;73;98,6;1,4;0;EM
3515103;2011;3;1;12;0;0;0;0;EM
3515103;2011;2;1;12;929;84,6;12,2;3,2;EM
3515103;2011;0;2;12;0;0;0;0;EM
3515103;2011;5;2;12;0;0;0;0;EM
3515103;2011;4;2;12;0;0;0;0;EM
3515103;2011;3;2;12;0;0;0;0;EM
3515103;2012;0;2;9;33;100;0;0;AF
3515103;2012;5;2;9;0;0;0;0;AF
3515103;2012;4;2;9;33;100;0;0;AF
3515103;2012;3;2;9;0;0;0;0;AF
3515103;2012;0;0;9;1557;92,2;6,3;1,5;AF
3515103;2012;5;0;9;1416;92,2;6,3;1,5;AF
3515103;2012;4;0;9;141;92,6;6,6;0,8;AF
3515103;2012;3;0;9;101;100;0;0;AF
3515103;2012;2;0;9;1315;91,6;6,8;1,6;AF
3515103;2012;0;1;9;1524;92;6,5;1,5;AF
3515103;2012;5;1;9;1416;92,2;6,3;1,5;AF
3515103;2012;4;1;9;108;90,3;8,7;1;AF
3515103;2012;3;1;9;101;100;0;0;AF
3515103;2012;2;1;9;1315;91,6;6,8;1,6;AF
3515103;2012;0;0;6;1311;96,9;2,5;0,6;AF
3515103;2012;5;0;6;1164;97;2,3;0,7;AF
3515103;2012;4;0;6;147;95,8;4,2;0;AF
3515103;2012;3;0;6;107;99,1;0;0,9;AF
3515103;2012;2;0;6;1057;96,8;2,6;0,6;AF
3515103;2012;0;1;6;1267;96,9;2,5;0,6;AF
3515103;2012;5;1;6;1164;97;2,3;0,7;AF
3515103;2012;4;1;6;103;96;4;0;AF
3515103;2012;3;1;6;107;99,1;0;0,9;AF
3515103;2012;2;1;6;1057;96,8;2,6;0,6;AF
3515103;2012;0;2;6;44;95,5;4,5;0;AF
3515103;2012;5;2;6;0;0;0;0;AF
3515103;2012;4;2;6;44;95,5;4,5;0;AF
3515103;2012;3;2;6;0;0;0;0;AF
3515103;2012;0;0;8;1480;97,5;2,3;0,2;AF
3515103;2012;5;0;8;1289;97,7;2,1;0,2;AF
3515103;2012;4;0;8;191;95,7;3,8;0,5;AF
3515103;2012;3;0;8;101;100;0;0;AF
3515103;2012;2;0;8;1188;97,5;2,3;0,2;AF
3515103;2012;0;1;8;1412;97,5;2,3;0,2;AF
3515103;2012;5;1;8;1289;97,7;2,1;0,2;AF
3515103;2012;4;1;8;123;94,9;4,2;0,9;AF
3515103;2012;3;1;8;101;100;0;0;AF
3515103;2012;2;1;8;1188;97,5;2,3;0,2;AF
3515103;2012;0;2;8;68;97;3;0;AF
3515103;2012;5;2;8;0;0;0;0;AF
3515103;2012;4;2;8;68;97;3;0;AF
3515103;2012;3;2;8;0;0;0;0;AF
3515103;2012;0;0;7;1385;97,1;2,3;0,6;AF
3515103;2012;5;0;7;1236;97,3;2;0,7;AF
3515103;2012;4;0;7;149;95,2;4,8;0;AF
3515103;2012;3;0;7;110;93,6;4,6;1,8;AF
3515103;2012;2;0;7;1126;97,7;1,7;0,6;AF
3515103;2012;0;1;7;1343;97,1;2,3;0,6;AF
3515103;2012;5;1;7;1236;97,3;2;0,7;AF
3515103;2012;4;1;7;107;94,3;5,7;0;AF
3515103;2012;3;1;7;110;93,6;4,6;1,8;AF
3515103;2012;2;1;7;1126;97,7;1,7;0,6;AF
3515103;2012;0;2;7;42;97,6;2,4;0;AF
3515103;2012;5;2;7;0;0;0;0;AF
3515103;2012;4;2;7;42;97,6;2,4;0;AF
3515103;2012;3;2;7;0;0;0;0;AF
3515103;2012;0;0;2;1009;98,6;1,2;0,2;AI
3515103;2012;5;0;2;846;99,8;0;0,2;AI
3515103;2012;4;0;2;163;92,5;7,5;0;AI
3515103;2012;3;0;2;287;99,3;0;0,7;AI
3515103;2012;2;0;2;559;100;0;0;AI
3515103;2012;0;1;2;896;99,3;0,5;0,2;AI
3515103;2012;5;1;2;826;99,8;0;0,2;AI
3515103;2012;4;1;2;70;94,2;5,8;0;AI
3515103;2012;3;1;2;267;99,2;0;0,8;AI
3515103;2012;2;1;2;559;100;0;0;AI
3515103;2012;0;2;2;113;93;7;0;AI
3515103;2012;5;2;2;20;100;0;0;AI
3515103;2012;4;2;2;93;91,3;8,7;0;AI
3515103;2012;3;2;2;20;100;0;0;AI
3515103;2012;0;0;1;939;99,5;0,4;0,1;AI
3515103;2012;5;0;1;839;99,4;0,5;0,1;AI
3515103;2012;4;0;1;100;100;0;0;AI
3515103;2012;3;0;1;427;99,5;0,2;0,3;AI
3515103;2012;2;0;1;412;99,3;0,7;0;AI
3515103;2012;0;1;1;886;99,4;0,5;0,1;AI
3515103;2012;5;1;1;810;99,4;0,5;0,1;AI
3515103;2012;4;1;1;76;100;0;0;AI
3515103;2012;3;1;1;398;99,5;0,3;0,2;AI
3515103;2012;2;1;1;412;99,3;0,7;0;AI
3515103;2012;0;2;1;53;100;0;0;AI
3515103;2012;5;2;1;29;100;0;0;AI
3515103;2012;4;2;1;24;100;0;0;AI
3515103;2012;3;2;1;29;100;0;0;AI
3515103;2012;0;0;4;1178;99,6;0,4;0;AI
3515103;2012;5;0;4;1003;100;0;0;AI
3515103;2012;4;0;4;175;97,1;2,9;0;AI
3515103;2012;3;0;4;427;100;0;0;AI
3515103;2012;2;0;4;576;100;0;0;AI
3515103;2012;0;1;4;1066;99,9;0,1;0;AI
3515103;2012;5;1;4;987;100;0;0;AI
3515103;2012;4;1;4;79;98,7;1,3;0;AI
